node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATF1	TCF12	9606.ENSP00000262053	9606.ENSP00000388940	0	0	0	0	0	0	0.600	0.102	0.625
ATF1	CREB5	9606.ENSP00000262053	9606.ENSP00000350359	0	0	0	0	0	0	0.800	0.149	0.822
ATF1	ATF4	9606.ENSP00000262053	9606.ENSP00000336790	0	0	0	0	0.062	0.182	0.800	0.048	0.834
ATF4	CREB5	9606.ENSP00000336790	9606.ENSP00000350359	0	0	0	0	0	0.058	0.800	0.227	0.841
ATF4	DDIT3	9606.ENSP00000336790	9606.ENSP00000448665	0	0	0	0	0.099	0.793	0.800	0.897	0.995
BCL6	BLNK	9606.ENSP00000384371	9606.ENSP00000224337	0	0	0	0	0.062	0	0.900	0.325	0.931
BCL6	TCF3	9606.ENSP00000384371	9606.ENSP00000262965	0	0	0	0	0	0.058	0	0.506	0.515
BCL6	ZEB1	9606.ENSP00000384371	9606.ENSP00000354487	0	0	0	0.555	0	0.077	0.900	0.275	0.914
BLNK	TCF3	9606.ENSP00000224337	9606.ENSP00000262965	0	0	0	0	0	0	0	0.450	0.450
TCF12	TCF3	9606.ENSP00000388940	9606.ENSP00000262965	0	0	0	0.929	0.062	0.478	0.300	0.954	0.652
TCF12	ZEB1	9606.ENSP00000388940	9606.ENSP00000354487	0	0	0	0	0.064	0.388	0	0.507	0.692
TCF12	TWIST2	9606.ENSP00000388940	9606.ENSP00000482581	0	0	0	0	0	0.787	0	0.284	0.841
TCF3	ZEB1	9606.ENSP00000262965	9606.ENSP00000354487	0	0	0	0	0.062	0.212	0	0.411	0.527
TCF3	TWIST2	9606.ENSP00000262965	9606.ENSP00000482581	0	0	0	0	0	0.492	0	0.392	0.678
TWIST2	ZEB1	9606.ENSP00000482581	9606.ENSP00000354487	0	0	0	0	0	0	0	0.770	0.770
