node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ERG	SPI1	9606.ENSP00000414150	9606.ENSP00000227163	0	0	0	0	0.089	0.213	0	0.558	0.655
ETS1	TBX21	9606.ENSP00000376436	9606.ENSP00000177694	0	0	0	0	0.076	0.058	0	0.731	0.746
ETS1	SPI1	9606.ENSP00000376436	9606.ENSP00000227163	0	0	0	0.594	0.059	0.270	0	0.884	0.539
ETS1	IRF4	9606.ENSP00000376436	9606.ENSP00000370343	0	0	0	0	0.088	0	0	0.786	0.797
HAND2	TBX21	9606.ENSP00000352565	9606.ENSP00000177694	0	0	0	0	0	0.119	0	0.532	0.570
HAND2	HOXD13	9606.ENSP00000352565	9606.ENSP00000376322	0	0	0	0	0.080	0.345	0	0.542	0.700
IRF4	TBX21	9606.ENSP00000370343	9606.ENSP00000177694	0	0	0	0	0.126	0	0	0.705	0.731
IRF4	SPI1	9606.ENSP00000370343	9606.ENSP00000227163	0	0	0	0	0.130	0.720	0	0.989	0.997
SPI1	TBX21	9606.ENSP00000227163	9606.ENSP00000177694	0	0	0	0	0.239	0.065	0	0.502	0.614
TEAD1	TEAD3	9606.ENSP00000435233	9606.ENSP00000345772	0	0	0	0.973	0.184	0	0.600	0.800	0.666
