node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARNTL	NPAS2	9606.ENSP00000384517	9606.ENSP00000338283	0	0	0	0.644	0.065	0.971	0.900	0.995	0.998
MAX	MNT	9606.ENSP00000351490	9606.ENSP00000174618	0	0	0	0.712	0	0.761	0	0.777	0.814
MAX	MYCN	9606.ENSP00000351490	9606.ENSP00000281043	0	0	0	0.702	0	0.908	0	0.901	0.932
MAX	MITF	9606.ENSP00000351490	9606.ENSP00000295600	0	0	0	0	0.059	0	0	0.571	0.579
MITF	SPI1	9606.ENSP00000295600	9606.ENSP00000227163	0	0	0	0	0.062	0.270	0	0.922	0.942
MNT	MYCN	9606.ENSP00000174618	9606.ENSP00000281043	0	0	0	0	0	0.061	0	0.516	0.526
MYCN	ZFX	9606.ENSP00000281043	9606.ENSP00000368475	0	0	0	0	0	0.059	0	0.601	0.609
RUNX1	SPI1	9606.ENSP00000300305	9606.ENSP00000227163	0	0	0	0	0.066	0.270	0.800	0.688	0.951
RUNX2	SPI1	9606.ENSP00000360493	9606.ENSP00000227163	0	0	0	0	0.065	0	0	0.443	0.457
RUNX2	TCF7	9606.ENSP00000360493	9606.ENSP00000340347	0	0	0	0	0.062	0	0	0.419	0.432
RUNX2	TEAD1	9606.ENSP00000360493	9606.ENSP00000435233	0	0	0	0	0	0	0	0.431	0.432
SPI1	STAT6	9606.ENSP00000227163	9606.ENSP00000300134	0	0	0	0	0.088	0	0	0.712	0.726
TCF7	TEAD2	9606.ENSP00000340347	9606.ENSP00000472109	0	0	0	0	0.063	0.153	0.800	0.089	0.836
TCF7	TEAD1	9606.ENSP00000340347	9606.ENSP00000435233	0	0	0	0	0.063	0.153	0.800	0.156	0.848
TEAD1	TEAD2	9606.ENSP00000435233	9606.ENSP00000472109	0	0	0	0.964	0.140	0.680	0.600	0.767	0.883
